SubID,Type,Band,Rep,nBlock,nTrial,Clarity,Rec,Rec_Chunk1,Rec_Chunk2,Rec_Chunk3,RecOri,RecOri_Chunk1,RecOri_Chunk2,RecOri_Chunk3,DiffMean_Chunk1,DiffMean_Chunk2,DiffMean_Chunk3,DiffSTD_Chunk1,DiffSTD_Chunk2,DiffSTD_Chunk3,DiffMean,DiffSTD,Cond,CodeStim
405,NVS,1,1,1,1,2,-0.198601672307616,-0.348613201436059,-0.345501056655931,0.0919265358006668,-0.0267032538200269,0.0514169434682542,-0.0780973854054128,-0.124408920348263,1.3452571697126,1.34782452700778,1.06751461742061,1.64232347692899,1.64042741787373,1.34764495635856,1.25170545043744,1.54829045873674,P0,L2St4P2
405,NVS,1,2,1,1,2,0.0245712289930723,0.270113077144843,-0.0642449916035137,-0.212335313852146,0.052579179286585,0.265524912855409,-0.0212183332653103,-0.201271221843876,0.971646940577027,1.20535940249197,1.26212957501302,1.20821101042422,1.45893453698479,1.55713539157785,1.13419210412324,1.39673101992254,P0,L2St4P2
405,SWS,1,1,1,2,1,0.246965821045606,0.321484339262214,0.229446688998041,0.195092458361308,0.178123055807067,0.20791558759395,0.118509238390287,0.194414336207697,0.922543048920926,1.01260265708212,1.0195290476203,1.16491687320408,1.2414131552404,1.26878488455584,0.979993330366393,1.22721976756764,P0,L2St12P1
405,SWS,1,2,1,2,1,0.16850061188743,0.168979447482346,0.102694552859077,0.263014777231118,0.191913659107093,0.216994006282174,0.156672329521387,0.219658941974297,1.05660520777348,1.08860112345203,0.978311570034899,1.2892017317066,1.33963087986275,1.2140718452949,1.04499547761248,1.28957309844194,P0,L2St12P1
405,SWS,1,1,1,3,1,0.141313115819995,0.0455433209826633,0.00396457930055216,0.42216032366389,0.214719483391002,0.113467219936312,0.117739637689775,0.49097955908635,1.12059176228549,1.14623843519134,0.899913306287067,1.38163430691145,1.41140739738705,1.07502528001541,1.06592000002174,1.31048608094859,P-,L5St6P1
405,SWS,1,2,1,3,3,0.23297025747165,0.115138326924753,0.31850042301972,0.259332497838246,0.224758976585455,0.159732000948338,0.282166691974184,0.274308622413788,1.07303783186831,0.925632574963722,1.04098250369211,1.33030949261835,1.16747554747864,1.21710106578029,1.01047432535203,1.23857155023708,P-,L5St6P1
405,SWS,1,1,1,4,3,0.127713314848546,0.0618228835909201,-0.0508404158660378,0.396709215693605,0.124257807776657,0.193399865760142,-0.116281335526408,0.304091340332271,1.08006918436883,1.11657467039292,0.880119456903735,1.36980080041521,1.44971750066421,1.09844506854589,1.03696883608899,1.32082298976922,P0,L2St6P1
405,SWS,1,2,1,4,4,0.133744763853713,-0.0948573393238913,0.117133720467119,0.341365267880637,0.085547985974192,-0.165483099134393,0.0867060861353117,0.289518935812912,1.17247368714808,1.06022788353187,0.919291525028261,1.47976845440352,1.32880869919856,1.14772360097661,1.0627240698878,1.3162486361978,P0,L2St6P1
405,NVS,1,1,1,5,2,-0.0620441627474426,0.179005280403506,-0.100917885378269,-0.18280079672978,-0.0210885323450042,0.211690218922598,-0.172020755323077,-0.0495395829421701,0.997607111026998,1.14548596842245,1.23240622786775,1.28140135757419,1.48385840657272,1.53805123239103,1.14460311073202,1.45742523838957,P-,L1St15P1
405,NVS,1,2,1,5,2,0.0717560864378387,-0.203650304324124,0.211604325553519,0.299611632207998,0.017783717888404,-0.0430539987186503,-0.232594914799776,0.363791033739166,1.20802786838187,1.02984746687148,0.959263204724822,1.55154781062275,1.25570352746696,1.18354414179785,1.07478387313441,1.36252993623051,P-,L1St15P1
405,SWS,1,1,1,6,4,-0.0165141121328711,0.34300333110242,-0.153583057005424,-0.185261044993091,-0.0408294260540746,0.359927541321766,-0.190329356225146,-0.232266881340103,0.971513902794458,1.24132462499515,1.17290633432849,1.14629548450439,1.51893584920853,1.53964998944117,1.13178712539917,1.42584298724149,P0,L2St1P1
405,SWS,1,2,1,6,4,0.341423993354991,0.191317053698261,0.354831268822969,0.521252152093865,0.247837385946622,0.0963413780275653,0.258185219304646,0.435701180612172,1.02489129401799,0.907113283554613,0.778688610709522,1.27175701004692,1.13593021896332,0.978517090199384,0.902665137547582,1.1476724329224,P0,L2St1P1
405,NVS,1,1,1,7,1,0.00470124854996002,0.0013566096062013,0.0249281426664826,-0.032335040170496,0.0671051200057285,-0.140072931370519,0.125070385828243,0.123282052849474,1.13427336117302,1.07034806091205,1.1551479287211,1.41325396896227,1.39647546153416,1.43689598800365,1.1209769141145,1.41088536136005,P+,L4St13P1
405,NVS,1,2,1,7,4,0.18503869392164,0.187129719053497,0.232106237935029,0.117670431373137,0.203869617950023,0.31300178056399,0.230054462049361,0.0649854760870321,1.01172618917843,0.976576320750349,1.06906917099125,1.27504531758405,1.2392689474565,1.32840473397746,0.998366477648123,1.27668422570216,P+,L4St13P1
405,SWS,1,1,1,8,2,0.0875907342233264,0.0311468055891994,0.203518959210828,0.0490279770103561,-0.0403199448584207,-0.0850731849399756,0.179544957607616,-0.170880780427252,1.08622097919963,0.952715061207718,1.1392238704323,1.39201522578656,1.26212601652067,1.37910987451301,1.07099240782211,1.35085844245552,P-,L5St13P1
405,SWS,1,2,1,8,3,0.237472882834238,0.0240198795943926,0.309693827838913,0.35579174081548,0.107108254839926,-0.120638005227454,0.267359196767239,0.156353878010214,1.17028147165737,0.953050683197616,0.909543219983608,1.39712570687509,1.17499461459284,1.13508436619004,1.00974812268521,1.23493086216659,P-,L5St13P1
